"","lizard_id","clutch","age","temp","cort","choice_slope__mean","choice_slope__sd","choice_slope__se","errors_slope__mean","errors_slope__sd","errors_slope__se","choice_intercept__mean","choice_intercept__sd","choice_intercept__se"
"53",3082,"CL847_24",67,"Hot","Control",0.01384534102892,0.012719052725643,8.21011323099159e-05,-0.00798311893758154,0.0109028831096139,7.03778078486348e-05,-1.09942633384432,0.247927529367013,0.00160036532050798
"54",3086,"CL848_24",69,"Hot","Control",0.00676290686268504,0.0124937254389609,8.06466509286391e-05,-0.0188023985691545,0.0121441417507204,7.83900979242037e-05,-1.02332088309851,0.262435408269644,0.00169401327613912
"55",3090,"CL848_24",69,"Hot","Control",-0.00361692436343733,0.0122860695687583,7.93062380502444e-05,-0.000878313212725309,0.0115051199573854,7.42652299851202e-05,-1.21646031947652,0.224560949812444,0.00144953469805352
"56",3093,"CL849_24",58,"Cold","Control",-0.0134976353048264,0.0140909454573951,9.09566618146807e-05,-0.00508970013912424,0.0110556519061115,7.13639261897267e-05,-1.33009862600657,0.26081476765966,0.0016835520859847
"57",3095,"CL849_24",55,"Cold","Control",0.000125506037097454,0.0123403356793226,7.96565242877093e-05,-0.0070214516568553,0.0109292373231878,7.05479235657579e-05,-1.19775281512482,0.225893138782668,0.00145813394087965
"58",3098,"CL850_24",69,"Hot","Control",-0.00798312484617845,0.0129369225829169,8.35074761913531e-05,-0.0204716726580326,0.0115004966110342,7.42353864127503e-05,-1.24147087937699,0.231688210878458,0.0014955409704081
"59",3099,"CL851_24",69,"Hot","CORT",-0.00639003488819698,0.0133893084740867,8.64276145622859e-05,-0.00804093890599391,0.0123730676308945,7.98678081265873e-05,-1.36353252457876,0.27463301151267,0.00177274846651227
"60",3100,"CL851_24",49,"Cold","CORT",-0.00962162806772311,0.013148756469816,8.48748580515573e-05,0.00294221931832093,0.0121350447894057,7.83313772914154e-05,-1.25675349544981,0.236697848130304,0.00152787803981967
"61",3102,"CL851_24",67,"Hot","Control",0.0117646883076813,0.0127429255583582,8.225523078247e-05,-0.0298844468508114,0.0122608395646437,7.91433790739764e-05,-1.14965107507795,0.234189571386577,0.00151168718305944
"62",3103,"CL851_24",51,"Cold","CORT",-0.0119070438514435,0.0139102011427721,8.97899622805865e-05,0.0188130048826381,0.0110563725484298,7.13685779158888e-05,-1.20694227628328,0.244335635306258,0.00157717974404358
"63",3109,"CL852_24",65,"Hot","Control",-0.00488213680339547,0.0126634980767043,8.17425285930091e-05,0.0184081257889295,0.0111707010317535,7.21065651024053e-05,-1.2593221439216,0.232263327681028,0.00149925333340556
"64",3154,"CL865_24",65,"Hot","Control",-0.0145218162353321,0.014204469787677,9.16894582156322e-05,0.0120017613709324,0.0102741413587149,6.63192972981394e-05,-1.2905027677142,0.251082868541693,0.00162073294729994
"65",3155,"CL865_24",65,"Cold","CORT",0.0124923146550679,0.0125494550244529,8.10063838561417e-05,-0.0162313962498255,0.0127904568141969,8.25620437196166e-05,-1.0983329170718,0.245151147926608,0.0015824438553723
"66",3157,"CL865_24",65,"Hot","CORT",-0.0194972867526199,0.0153717803787663,9.92244156808661e-05,-0.00758606201822784,0.0107651771686882,6.94889198221692e-05,-1.26537374506584,0.26460797333038,0.00170803712330376
"67",3158,"CL865_24",49,"Cold","CORT",0.0115329215566604,0.0125393356708414,8.09410637094559e-05,-0.021612033789057,0.0123970008049311,8.00222961006969e-05,-1.16742350751379,0.23508765580499,0.00151748429305278
"68",3159,"CL865_24",67,"Hot","Control",-0.0068782728212973,0.0128033715469316,8.26454079609533e-05,0.00114963841211086,0.0113637870978208,7.3352930299511e-05,-1.20784766421125,0.228409036832182,0.0014743739929572
"69",3176,"CL869_24",67,"Hot","CORT",-0.00312717960593091,0.0122718464884154,7.92144284614113e-05,-0.00390002032408811,0.0112704807966447,7.2750640715259e-05,-1.22663820841829,0.223471463285244,0.00144250209276059
"70",3178,"CL869_24",65,"Hot","Control",0.00989005070345987,0.0123528162642484,7.97370861169903e-05,-0.02370860940102,0.0124360730743957,8.02745065155883e-05,-1.15389613113279,0.228239270879676,0.00147327815844585
"71",3179,"CL869_24",65,"Hot","CORT",-0.0046254041678373,0.012603877233046,8.13576777020503e-05,-0.0081571377701605,0.0110797577496446,7.15195287406434e-05,-1.30230655482474,0.244640712858681,0.00157914901117664
"72",3188,"CL872_24",62,"Hot","CORT",0.00464430910480392,0.0121225393324122,7.82506549136283e-05,-0.0259154343008892,0.0115342126253378,7.44530223492476e-05,-1.22229220339528,0.225515988833539,0.00145569944842632
"73",3191,"CL872_24",62,"Hot","CORT",0.0230241026496968,0.0147776232987916,9.53891482212441e-05,-0.0395789751963901,0.012816045122626,8.27272155402888e-05,-1.16112559786753,0.274375209731151,0.00177108436316819
"74",3193,"CL873_24",60,"Hot","Control",0.00746061847842514,0.0122308838114575,7.89500155186212e-05,-0.0170744058569232,0.0121994969499018,7.87474141984632e-05,-1.1632002555283,0.227883660598314,0.00147098270395009
"75",3195,"CL873_24",62,"Hot","CORT",0.00668615477301733,0.0120432059266625,7.77385599815169e-05,-0.0169124499394096,0.0116319907651732,7.50841775279239e-05,-1.15653782654675,0.224863953324521,0.00145149057731372
"76",3198,"CL874_24",62,"Hot","CORT",-0.00862985583527861,0.0133982704966336,8.64854641690733e-05,0.0112605804559098,0.0107080338431979,6.91200612422181e-05,-1.13294499984151,0.244346126940368,0.00157724746725055
"77",3200,"CL874_24",44,"Cold","CORT",0.0174016305925474,0.0132119234674579,8.52825992680525e-05,-0.0193673510322733,0.0126700247452282,8.17846580571743e-05,-1.04336651357628,0.266731375611261,0.00172174362608902
"78",3201,"CL874_24",65,"Hot","Control",-0.0147104404833525,0.0141268925557472,9.11886993367843e-05,-0.00767062515732767,0.0110194905309764,7.11305055169364e-05,-1.34475587812823,0.264419686450345,0.00170682173671929
"79",3212,"CL872_24",46,"Cold","CORT",0.00308339448806108,0.0118815737902558,7.66952290273252e-05,-0.010007112256638,0.0109066884076581,7.04023709418887e-05,-1.13592789868319,0.226737274392284,0.00146358281280963
